Rank,Name,Elevation
,,(feet)
1,Jeff Davis,"4,892"
2,Presidio,"4,685"
3,Hudspeth,"4,528"
4,Brewster,"4,475"
5,Parmer,"4,144"
6,Culberson,"4,042"
7,Oldham,"4,029"
8,Dallam,"3,893"
9,Castro,"3,875"
10,Deaf Smith,"3,816"
11,Hartley,"3,806"
12,Bailey,"3,793"
13,Cochran,"3,760"
14,El Paso,"3,740"
15,Sherman,"3,691"
16,Moore,"3,661"
17,Yoakum,"3,642"
18,Potter,"3,605"
19,Lamb,"3,560"
20,Randall,"3,543"
21,Hockley,"3,520"
22,Swisher,"3,484"
23,Carson,"3,458"
24,Armstrong,"3,406"
25,Hale,"3,366"
26,Terry,"3,310"
27,Gaines,"3,297"
28,Briscoe,"3,278"
29,Lubbock,"3,256"
30,Gray,"3,238"
31,Hutchinson,"3,186"
32,Floyd,"3,182"
33,Andrews,"3,176"
34,Hansford,"3,104"
35,Lynn,"3,081"
36,Crosby,"3,022"
37,Dawson,"2,992"
38,Pecos,"2,972"
39,Ochiltree,"2,940"
40,Ector,"2,900"
41,Winkler,"2,861"
42,Terrell,"2,789"
43,Midland,"2,782"
44,Roberts,"2,756"
45,Donley,"2,733"
46,Glasscock,"2,692"
47,Reagan,"2,690"
48,Loving,"2,684"
49,Martin,"2,664"
50,Ward,"2,621"
51,Garza,"2,605"
52,Reeves,"2,601"
53,Crane,"2,575"
54,Borden,"2,556"
55,Dickens,"2,546"
56,Upton,"2,516"
57,Wheeler,"2,507"
58,Howard,"2,441"
59,Schleicher,"2,438"
60,Hemphill,"2,425"
61,Edwards,"2,402"
62,Lipscomb,"2,392"
63,Motley,"2,382"
64,Crockett,"2,349"
65,Scurry,"2,320"
66,Sterling,"2,287"
67,Irion,"2,201"
68,Nolan,"2,169"
69,Sutton,"2,129"
70,Mitchell,"2,067"
71,Hall,"2,057"
72,Collingsworth,"2,031"
73,Kent,"2,005"
74,King,"1,998"
75,Fisher,"1,962"
76,Menard,"1,883"
77,Childress,"1,870"
78,Cottle,"1,860"
79,Tom Green,"1,844"
80,Coke,"1,827"
81,Stonewall,"1,781"
82,Jones,"1,729"
83,Callahan,"1,722"
84,Taylor,"1,719"
85,Coleman,"1,703"
86,Kimble,"1,703"
87,Gillespie,"1,693"
88,McCulloch,"1,677"
89,Kerr,"1,637"
90,Concho,"1,631"
91,Runnels,"1,627"
92,Real,"1,604"
93,Haskell,"1,581"
94,Hardeman,"1,572"
95,Mills,"1,572"
96,Mason,"1,539"
97,Kendall,"1,490"
98,Knox,"1,476"
99,Foard,"1,473"
100,Eastland,"1,440"
101,Shackelford,"1,414"
102,Comanche,"1,381"
103,Brown,"1,365"
104,Throckmorton,"1,319"
105,Baylor,"1,289"
106,Burnet,"1,286"
107,Erath,"1,273"
108,Bandera,"1,243"
109,Stephens,"1,204"
110,San Saba,"1,204"
111,Blanco,"1,198"
