County,Tdap/Td,Meningococcal,Hepatitis A,Hepatitis B,MMR,Polio,Varicella
Anderson,98.99%,98.99%,98.99%,99.16%,99.16%,99.16%,98.48%
Andrews,98.08%,98.08%,98.36%,98.36%,98.63%,98.36%,96.16%
Angelina,98.03%,97.95%,98.98%,99.71%,99.49%,99.49%,98.69%
Aransas,99.08%,99.54%,98.17%,99.54%,99.54%,99.08%,98.62%
Archer,98.00%,98.00%,98.67%,98.67%,98.67%,98.67%,98.00%
Armstrong,95.83%,95.83%,95.83%,95.83%,95.83%,95.83%,95.83%
Atascosa,98.84%,98.84%,98.98%,99.27%,99.13%,99.13%,97.97%
Austin,98.33%,98.33%,98.12%,98.54%,98.54%,98.54%,97.91%
Bailey,100.00%,100.00%,99.12%,100.00%,100.00%,99.12%,99.12%
Bandera,97.95%,97.95%,97.44%,97.95%,97.95%,97.95%,97.44%
Bastrop,97.76%,98.10%,98.16%,98.71%,98.78%,98.50%,97.01%
Baylor,91.18%,91.18%,100.00%,100.00%,100.00%,100.00%,100.00%
Bee,98.96%,98.96%,98.43%,98.43%,98.96%,98.69%,98.96%
Bell,98.09%,98.41%,98.39%,98.60%,98.57%,98.37%,97.54%
Bexar,96.68%,96.68%,98.42%,98.74%,98.85%,98.71%,97.94%
Blanco,95.83%,95.83%,97.22%,97.22%,97.22%,97.22%,95.83%
Borden,94.12%,100.00%,94.12%,94.12%,94.12%,94.12%,94.12%
Bosque,88.03%,88.46%,97.86%,97.86%,97.86%,97.86%,97.86%
Bowie,95.78%,95.92%,98.16%,98.30%,98.50%,98.03%,97.96%
Brazoria,98.68%,98.64%,99.02%,99.43%,99.40%,99.35%,98.18%
Brazos,98.90%,99.03%,99.11%,99.28%,99.20%,99.24%,98.14%
Brewster,98.00%,97.00%,96.00%,100.00%,100.00%,100.00%,99.00%
Briscoe,92.86%,92.86%,100.00%,100.00%,100.00%,100.00%,100.00%
Brooks,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Brown,97.60%,97.60%,98.00%,98.20%,98.20%,98.40%,97.40%
Burleson,98.68%,98.68%,99.56%,99.56%,99.56%,99.56%,97.36%
Burnet,95.49%,96.01%,96.70%,97.40%,97.74%,97.05%,96.70%
Caldwell,98.59%,98.74%,97.96%,98.90%,99.06%,98.90%,98.43%
Calhoun,99.35%,99.02%,98.69%,99.02%,98.69%,99.02%,98.69%
Callahan,93.60%,93.60%,98.52%,99.01%,98.52%,98.52%,98.03%
Cameron,99.40%,99.52%,99.29%,99.65%,99.59%,99.64%,98.50%
Camp,98.38%,98.38%,99.46%,100.00%,100.00%,100.00%,98.38%
Carson,96.97%,97.98%,97.98%,97.98%,97.98%,97.98%,97.98%
Cass,97.63%,97.16%,98.10%,98.58%,98.34%,98.10%,97.63%
Castro,100.00%,100.00%,98.33%,99.17%,100.00%,99.17%,99.17%
Chambers,98.35%,98.49%,98.49%,99.45%,98.90%,99.04%,98.63%
Cherokee,99.21%,99.06%,99.37%,99.69%,99.53%,99.53%,98.90%
Childress,94.68%,94.68%,98.94%,100.00%,100.00%,100.00%,100.00%
Clay,99.10%,99.10%,99.10%,99.10%,99.10%,99.10%,99.10%
Cochran,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Coke,82.76%,82.76%,89.66%,89.66%,89.66%,89.66%,89.66%
Coleman,98.08%,98.08%,98.08%,98.08%,98.08%,98.08%,98.08%
Collin,96.63%,97.40%,97.19%,97.76%,97.99%,97.60%,96.29%
Collingsworth,96.08%,96.08%,94.12%,94.12%,96.08%,94.12%,94.12%
Colorado,98.29%,98.29%,100.00%,100.00%,100.00%,100.00%,98.86%
Comal,97.54%,97.65%,98.10%,98.31%,98.28%,98.35%,97.47%
Comanche,98.95%,98.95%,99.47%,100.00%,100.00%,100.00%,99.47%
Concho,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Cooke,98.19%,98.01%,98.92%,99.46%,99.46%,99.46%,98.56%
Coryell,96.06%,95.96%,99.17%,99.27%,99.07%,98.96%,98.24%
Cottle,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Crane,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Crockett,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,98.25%
Crosby,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Culberson,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Dallam,96.82%,97.45%,96.18%,98.09%,98.73%,97.45%,94.27%
Dallas,97.56%,97.79%,98.67%,98.81%,99.11%,98.79%,97.92%
Dawson,98.13%,97.66%,98.13%,98.60%,98.60%,98.60%,98.13%
Deaf Smith,98.73%,99.37%,99.05%,99.37%,99.37%,99.37%,99.37%
Delta,98.39%,98.39%,98.39%,98.39%,98.39%,98.39%,96.77%
Denton,96.88%,97.48%,97.14%,97.63%,97.77%,97.59%,95.93%
Dewitt,94.44%,95.30%,99.15%,99.57%,99.15%,99.15%,99.15%
Dickens,95.65%,95.65%,100.00%,100.00%,100.00%,100.00%,100.00%
Dimmit,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Donley,91.67%,93.75%,95.83%,95.83%,95.83%,95.83%,95.83%
Duval,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,99.43%
Eastland,96.21%,96.21%,98.58%,98.10%,98.10%,98.10%,97.63%
Ector,96.74%,97.70%,98.02%,98.76%,98.90%,98.80%,95.78%
Edwards,93.18%,90.91%,100.00%,100.00%,100.00%,100.00%,100.00%
El Paso,98.19%,98.31%,99.10%,99.50%,99.61%,99.46%,98.94%
Ellis,97.73%,97.79%,98.18%,98.47%,98.61%,98.33%,97.30%
Erath,98.52%,98.73%,98.95%,99.16%,99.37%,99.16%,97.68%
Falls,99.44%,98.87%,98.31%,100.00%,100.00%,100.00%,99.44%
